LOC_ID,CLUSTER,P_VALUE,RECURR_INT,CLU_OBS,CLU_EXP,CLU_ODE,CLU_RR,CLU_POP,LOC_OBS,LOC_EXP,LOC_ODE,LOC_RR,LOC_POP,LOC_LAT,LOC_LONG,GINI_CLUST
93526,30,0.00176242373703273,3972,1,14.7533297568,0.0677813088,0.0677810588,3221.29,0,2.985792927,0,0,629,36.8107477892,-118.2850960738,FALSE
91931,31,0.00211401971807179,3311,1,14.5492135472,0.0687322374,0.0687319877,613,1,14.5492135472,0.0687322374,0.0687319877,613,32.8463674315,-116.5577180248,FALSE
95412,32,0.00214100168377718,3269,1,14.5349728814,0.068799578,0.0687993282,1531,0,3.7690295453,0,0,397,38.7134336387,-123.3498102603,FALSE
95497,32,0.00214100168377718,3269,1,14.5349728814,0.068799578,0.0687993282,1531,1,10.765943336,0.0928854972,0.092885254,1134,38.7165469727,-123.45263743,FALSE
92066,33,0.00270460251368421,2588,0,10.614042901,0,0,2029.57,0,3.2895937971,0,0,486.57,33.219365689,-116.5352492801,FALSE
92086,33,0.00270460251368421,2588,0,10.614042901,0,0,2029.57,0,7.3244491038,0,0,1543,33.3095633647,-116.652659305,FALSE
93254,34,0.00350290758699778,1998,0,10.343470251,0,0,2179,0,3.7310544366,0,0,786,34.9486555559,-119.7710655956,FALSE
93441,34,0.00350290758699778,1998,0,10.343470251,0,0,2179,0,4.3766312856,0,0,922,34.7477444249,-120.0393564077,FALSE
93224,34,0.00350290758699778,1998,0,10.343470251,0,0,2179,0,2.2357845288,0,0,471,35.2281997466,-119.5693190179,FALSE
92309,35,0.00501529457179184,1396,1,13.576101385,0.0736588489,0.0736586004,572,1,13.576101385,0.0736588489,0.0736586004,572,35.2163967476,-116.1302614644,FALSE
95563,36,0.00857257930759459,817,1,12.9684996447,0.0771099223,0.0771096748,2682.45,0,3.1566809164,0,0,665,40.876265932,-123.4984834492,FALSE
95527,36,0.00857257930759459,817,1,12.9684996447,0.0771099223,0.0771096748,2682.45,0,2.3686974095,0,0,449.45,40.8533938109,-123.43174168,FALSE
95573,36,0.00857257930759459,817,1,12.9684996447,0.0771099223,0.0771096748,2682.45,1,7.4431213187,0.1343522371,0.1343520049,1568,40.8894357172,-123.6609498349,FALSE
96059,37,0.00939701936123161,745,1,12.8640680955,0.0777359069,0.0777356596,542,1,12.8640680955,0.0777359069,0.0777356596,542,40.4274732367,-121.8322595513,FALSE
95975,38,0.01,700,0,8.909909895,0,0,1877,0,8.909909895,0,0,1877,39.2244117754,-121.1516198654,FALSE
96014,39,0.011,636,1,12.3703916815,0.0808381841,0.0808379376,2592.15,0,0,0,0,0,41.3389464532,-122.7779311401,FALSE
96034,39,0.011,636,1,12.3703916815,0.0808381841,0.0808379376,2592.15,0,1.3243819183,0,0,265.15,41.4318373708,-122.6154255836,FALSE
96027,39,0.011,636,1,12.3703916815,0.0808381841,0.0808379376,2592.15,1,11.0460097632,0.0905304288,0.0905301849,2327,41.3838727585,-123.0688278178,FALSE
96024,40,0.015,467,1,12.047603257,0.0830040614,0.0830038154,846,1,12.047603257,0.0830040614,0.0830038154,846,40.5754083676,-122.8904646451,FALSE
95981,41,0.015,467,0,8.4833680482,0,0,1570.48,0,0,0,0,0,39.6359951055,-121.0360343083,FALSE
95930,41,0.015,467,0,8.4833680482,0,0,1570.48,0,0,0,0,0,39.5518828556,-121.193645902,FALSE
95922,41,0.015,467,0,8.4833680482,0,0,1570.48,0,3.9446644234,0,0,831,39.4848206872,-121.0719443708,FALSE
95944,41,0.015,467,0,8.4833680482,0,0,1570.48,0,0,0,0,0,39.4993256244,-120.9314648254,FALSE
95936,41,0.015,467,0,8.4833680482,0,0,1570.48,0,0,0,0,0,39.6072892393,-120.7921697965,FALSE
95941,41,0.015,467,0,8.4833680482,0,0,1570.48,0,1.5766451409,0,0,291.31,39.5209993918,-121.2422839817,FALSE
95925,41,0.015,467,0,8.4833680482,0,0,1570.48,0,1.3101412525,0,0,117.45,39.4688709986,-121.1795347681,FALSE
95956,41,0.015,467,0,8.4833680482,0,0,1570.48,0,1.6519172315,0,0,330.72,39.8380606867,-121.1363556714,FALSE
93562,42,0.015,467,0,8.4067397038,0,0,1771,0,8.4067397038,0,0,1771,35.7480829425,-117.3808233489,FALSE
96091,43,0.018,389,1,11.7343086097,0.0852201892,0.0852199439,618,1,11.7343086097,0.0852201892,0.0852199439,618,41.0358147506,-122.7881581794,FALSE
95943,44,0.018,389,0,8.2690799345,0,0,871,0,8.2690799345,0,0,871,39.5857022055,-122.0366972704,FALSE
93601,45,0.034,206,0,7.9462915099,0,0,1674,0,7.9462915099,0,0,1674,37.3937716097,-119.7444095443,FALSE
92328,46,0.088,80,1,10.3956860255,0.0961937478,0.0961935054,229.87,1,10.3956860255,0.0961937478,0.0961935054,229.87,36.5289687374,-116.8704327268,FALSE
93531,47,0.156,45,0,6.417793382,0,0,338,0,6.417793382,0,0,338,35.2160356273,-118.5899843436,FALSE
95306,48,0.2,35,0,6.2089302838,0,0,654,0,6.2089302838,0,0,654,37.3840806304,-120.1290932563,FALSE
90021,49,0.229,31,0,5.9912515353,0,0,2276.63,0,5.9912515353,0,0,2276.63,34.0293396302,-118.2387681277,FALSE
93954,50,0.403,17,0,5.2310712329,0,0,551,0,5.2310712329,0,0,551,36.1331251007,-120.9420597449,FALSE
95970,51,0.605,12,0,4.419353283,0,0,868.45,0,2.9240833752,0,0,616,39.4005674593,-122.060299959,FALSE
95920,51,0.605,12,0,4.419353283,0,0,868.45,0,1.4952699078,0,0,252.45,39.4607411554,-121.9370100127,FALSE
96120,52,0.615,11,0,4.39561884,0,0,926,0,4.39561884,0,0,926,38.7537295755,-119.8333549551,FALSE
94938,53,0.633,11,0,4.3671375084,0,0,920,0,4.3671375084,0,0,920,38.0290704651,-122.7265268564,FALSE
92268,54,0.652,11,0,4.3196686225,0,0,455,0,4.3196686225,0,0,455,34.2220958208,-116.564252574,FALSE
92239,55,0.653,11,0,4.3101748453,0,0,227,0,4.3101748453,0,0,227,33.7647630229,-115.4702566437,FALSE
95569,56,0.682,10,0,4.172515076,0,0,978.18,0,1.7610956692,0,0,371,40.3674599056,-123.85531575,FALSE
95571,56,0.682,10,0,4.172515076,0,0,978.18,0,0,0,0,99.18,40.3224387229,-123.9205639235,FALSE
95554,56,0.682,10,0,4.172515076,0,0,978.18,0,2.4114194068,0,0,508,40.2841407795,-123.794537557,FALSE
95979,57,0.778,9,0,3.9304237576,0,0,414,0,3.9304237576,0,0,414,39.3015159954,-122.5158509669,FALSE
93518,58,0.802,9,0,3.8639673173,0,0,814,0,3.8639673173,0,0,814,35.3700706508,-118.4612299821,FALSE
95345,59,0.821,9,0,3.8070046541,0,0,802,0,3.8070046541,0,0,802,37.5901831534,-119.9651928294,FALSE
95607,60,0.846,8,0,3.6930793278,0,0,389,0,3.6930793278,0,0,389,38.7915169196,-122.1273287205,FALSE
95674,61,0.865,8,0,3.6408635532,0,0,767,0,3.6408635532,0,0,767,38.9541564156,-121.4818639751,FALSE
95830,62,0.924,8,0,3.4842162296,0,0,734,0,3.4842162296,0,0,734,38.4941620671,-121.2724139859,FALSE
96038,63,0.929,8,0,3.4747224524,0,0,732,0,3.4747224524,0,0,732,41.6089244513,-122.5464344299,FALSE
94970,64,0.96,7,0,3.3133282401,0,0,698,0,3.3133282401,0,0,698,37.9145138097,-122.646895152,FALSE
93452,65,0.982,7,0,3.1234526963,0,0,658,0,3.1234526963,0,0,658,35.7095138937,-121.2078238671,FALSE
95227,66,0.982,7,0,3.1044651419,0,0,654,0,3.1044651419,0,0,654,38.2066654877,-121.0432468671,FALSE
95459,67,0.983,7,0,3.0427555901,0,0,641,0,3.0427555901,0,0,641,38.9811366282,-123.5908205222,FALSE
95251,68,0.987,7,0,2.9668053726,0,0,625,0,2.9668053726,0,0,625,38.0823479389,-120.4547298499,FALSE
93244,69,0.987,7,0,2.9240833752,0,0,308,0,2.9240833752,0,0,308,36.4669201612,-119.0155598205,FALSE
95675,70,0.99,7,0,2.6867389454,0,0,566,0,2.6867389454,0,0,566,38.5447000205,-120.7404999354,FALSE
96087,71,0.994,7,0,2.5823073963,0,0,544,0,2.5823073963,0,0,544,40.6239364399,-122.6159785284,FALSE
94973,72,0.997,7,0,2.4982196555,0,0,1010.27,0,2.4982196555,0,0,1010.27,38.0126969598,-122.6395983225,FALSE
95420,73,0.997,7,0,2.4826227358,0,0,523,0,2.4826227358,0,0,523,39.3673470949,-123.8063640341,FALSE
93524,74,0.999,7,0,2.3497098551,0,0,165,0,2.3497098551,0,0,165,34.9319873534,-117.9071267257,FALSE
95585,75,0.999,7,0,2.1693280884,0,0,457,0,2.1693280884,0,0,457,39.8447068674,-123.6570037507,FALSE
