"","GEOID","RPL_theme1","RPL_theme2","RPL_theme3","RPL_theme4","RPL_themes","year","state"
"1394","06037103101",0.4736,0.3396,0.1737,0.0749,0.2372,2020,"CA"
"1395","06037103102",0.7115,0.6268,0.2567,0.5922,0.6449,2020,"CA"
"1396","06037103201",0.5399,0.6058,0.2374,0.9894,0.741,2020,"CA"
"1397","06037103202",0.0793,0.4605,0.4807,0.402,0.2548,2020,"CA"
"1398","06037103300",0.2036,0.1294,0.0889,0.2347,0.1291,2020,"CA"
"1399","06037103401",0.4177,0.2207,0.1583,0.6314,0.3976,2020,"CA"
"1400","06037103402",0.308,0.1069,0.2946,0.5574,0.2937,2020,"CA"
"1401","06037104103",0.5717,0.6232,0.8154,0.5968,0.6445,2020,"CA"
"1402","06037104105",0.9307,0.9764,0.9185,0.8814,0.9792,2020,"CA"
"1403","06037104108",0.8299,0.8964,0.9007,0.9395,0.9471,2020,"CA"
"1404","06037104124",0.7496,0.6919,0.582,0.5927,0.7124,2020,"CA"
"1405","06037104201",0.7036,0.6548,0.971,0.5662,0.7214,2020,"CA"
"1406","06037104203",0.9161,0.686,0.9643,0.563,0.8351,2020,"CA"
"1407","06037104204",0.7821,0.7564,0.8402,0.9724,0.9197,2020,"CA"
"1408","06037104310",0.7497,0.7504,0.9511,0.3296,0.6952,2020,"CA"
"1409","06037104321",0.7789,0.6884,0.9643,0.4414,0.7284,2020,"CA"
"1410","06037104322",0.6522,0.6678,0.9337,0.964,0.8499,2020,"CA"
"1411","06037104401",0.8033,0.6682,0.9591,0.3959,0.7202,2020,"CA"
"1412","06037104403",0.8308,0.5434,0.9948,0.3598,0.7042,2020,"CA"
"1413","06037104404",0.9506,0.8751,0.9557,0.5627,0.8992,2020,"CA"
"1414","06037104500",0.7449,0.7684,0.9796,0.3529,0.7062,2020,"CA"
"1415","06037104610",0.7571,0.9377,0.9557,0.3898,0.7806,2020,"CA"
"1416","06037104620",0.8459,0.7301,0.9528,0.5945,0.8183,2020,"CA"
"1417","06037104701",0.9632,0.9622,0.9666,0.9351,0.9901,2020,"CA"
"1418","06037104703",0.7585,0.8997,0.878,0.8983,0.9112,2020,"CA"
"1419","06037104704",0.8027,0.8769,0.8884,0.7575,0.8718,2020,"CA"
"1420","06037104821",0.8087,0.963,0.9286,0.6487,0.8852,2020,"CA"
"1421","06037104822",0.9378,0.9433,0.9381,0.7154,0.9421,2020,"CA"
"1422","06037104823",0.8317,0.7403,0.9493,0.2681,0.7111,2020,"CA"
"1423","06037104824",0.6351,0.4954,0.9666,0.0901,0.4713,2020,"CA"
"1424","06037106010",0.2438,0.4442,0.662,0.4289,0.3727,2020,"CA"
"1425","06037106020",0.8102,0.5198,0.722,0.1327,0.5628,2020,"CA"
"1426","06037106111",0.4913,0.3738,0.6084,0.5895,0.5192,2020,"CA"
"1427","06037106112",0.3277,0.8139,0.712,0.5838,0.5608,2020,"CA"
"1428","06037106113",0.5603,0.5548,0.7405,0.4216,0.5609,2020,"CA"
"1429","06037106114",0.7615,0.861,0.9007,0.3849,0.7438,2020,"CA"
"1430","06037106403",0.6431,0.7626,0.8521,0.2717,0.6183,2020,"CA"
"1431","06037106405",0.78,0.7492,0.7443,0.5873,0.7632,2020,"CA"
"1432","06037106406",0.4232,0.4974,0.6653,0.7671,0.5812,2020,"CA"
"1433","06037106407",0.9663,0.966,0.8026,0.9579,0.9905,2020,"CA"
"1434","06037106408",0.7013,0.8822,0.9165,0.8006,0.8454,2020,"CA"
"1435","06037106510",0.6023,0.698,0.758,0.8644,0.7574,2020,"CA"
"1436","06037106520",0.6623,0.9052,0.8729,0.7638,0.8184,2020,"CA"
"1437","06037106603",0.1874,0.3536,0.3713,0.1246,0.1616,2020,"CA"
"1438","06037106604",0.7008,0.9792,0.9073,0.7249,0.8721,2020,"CA"
"1439","06037106641",0.5095,0.8214,0.1203,0.116,0.3923,2020,"CA"
"1440","06037106642",0.2129,0.2977,0.247,0.4336,0.2691,2020,"CA"
"1441","06037106643",0.1326,0.5424,0.3149,0.0552,0.1258,2020,"CA"
